sentence_id,text,char_count,word_count,phoneme_count,complexity_tag,t_synth_start,t_front_end_end,t_acoustic_end,t_vocoder_end,t_audio_write_end,front_end_ms,acoustic_ms,vocoder_ms,write_ms,total_synth_ms,audio_duration_s,n_samples,sample_rate,rtf,energy_j,energy_wh,energy_per_speech_s,mean_cpu,peak_cpu,peak_temp,throttled_any,amp_energy_j,amp_energy_wh,amp_mean_w,amp_peak_w,cpu_energy_wh,cpu_mean_w,mem_energy_wh,mem_mean_w
REF_0000,".La bise et le soleil se disputaient, chacun assurant qu'il était le plus fort.",79,14,,anchor,8812.006355972,8812.007095164,8812.481192298,8813.165541915,8813.236932667,0.005036999937146902,473.7855950006633,683.1722729984904,71.37014100044325,1230.5766949993995,3.889,85760,22050,0.31642496657222924,11.476438272382262,0.003187899520106184,2.9509998129036417,96.98459884435495,100.0,60.05,False,0.32218469333478994,8.949574814855276e-05,0.32217982954545454,0.32313281250000003,0.001497084592056167,5.268864259095991,0.00020076025201145413,0.7138189123016964
A1_0001,.Le chat dort.,14,3,,short_plain,8818.006448226,8818.007001398,8818.24423743,8818.441424724,8818.484680471,0.003908000508090481,237.0769940007449,196.6685490006057,43.235821000052965,478.2322449991625,1.173,25856,22050,0.40770012361394925,3.626069367306362,0.0010072414909184338,3.091278232997751,84.01154272084504,100.0,59.5,False,0.12892146083925687,3.581151689979358e-05,0.3227821875,0.3234515625,0.00035693634752633494,2.9767211699095997,6.716686924423283e-05,0.583456458064296
A2_0002,.Le petit garçon mange une pomme rouge dans le jardin.,54,10,,medium_plain,8824.006524591,8824.007194264,8824.352688796,8824.796218664,8824.853951945,0.003778000973397866,345.2711409991025,443.0118450000009,57.71244800052955,847.427354001411,2.612,57600,22050,0.32443619984740085,7.891201402999261,0.002192000389722017,3.0211337683764397,85.48187097930358,100.0,60.6,False,0.25819019889998546,7.17194996944404e-05,0.3228317708333333,0.323053125,0.0008725954902198378,3.73283714054,0.00014832674461118567,0.6445524416992022
A3_0003,".Ce matin, je suis allé à la boulangerie du coin pour acheter du pain frais et deux croissants.",95,18,,long_plain,8830.006606086,8830.007363685,8830.501306604,8831.313768746,8831.393352329,0.003647999619715847,493.6516749985458,811.6747639996902,79.56263899905025,1386.7462429989246,4.644,102400,22050,0.2986103021100182,13.214482821240095,0.003670689672566693,2.8454958702067388,90.69568825935069,100.0,62.25,False,0.4188913777142777,0.00011635871603174381,0.32269453124999997,0.323371875,0.0014902641598859743,3.9085712908784287,0.00027112918858801586,0.7363237640670528
B1_0004,.Les anciens amis ont attendu leurs enfants aux alentours.,58,9,,liaisons,8836.266448958,8836.267848544,8836.614023989,8837.091499264,8837.150384722,0.005425999916042201,345.7820529984019,476.8647699984285,58.86562399973627,883.935763999034,2.833,62464,22050,0.31201403600389477,7.631591467482599,0.0021198865187451663,2.6938197908516055,90.8184880916021,100.0,62.25,False,0.2583335439677401,7.17593177688167e-05,0.3229911458333333,0.3234515625,0.0007827292245296208,3.4075030722019997,0.00016915258170993006,0.7586903985012955
B2_0005,".La Révolution française a éclaté le quatorze juillet mille sept cent quatre-vingt-neuf, près de Paris.",103,15,,number_words,8842.266521952,8842.267357737,8842.78685225,8843.647776647,8843.730430349,0.004147999788983725,519.1804360001697,859.8589439989155,82.6340910007275,1463.9083969996136,4.888,107776,22050,0.29949026125196676,13.326493012665031,0.0037018036146291753,2.7263692742768066,94.68224987794972,100.0,63.35,False,0.41922548837416423,0.00011645152454837895,0.32260915178571425,0.32313281250000003,0.0015514271154094576,4.173862343153907,0.0002540676684823329,0.6924405813115228
B3_0006,".Attends… es-tu vraiment sûr ? Non, c'est impossible !",54,9,,prosody_punct,8848.884149537,8848.884828006,8849.29735777,8849.97017699,8850.037813635,0.0037599984352709725,412.2762249990046,672.2440670000651,67.61660799929814,1153.6640979993535,3.727,82176,22050,0.30954228548413026,10.10482579961708,0.0028068960554491888,2.711249208375927,93.57806260670696,100.0,63.35,False,0.32345146913024775,8.984763031395771e-05,0.32284303977272727,0.3232125,0.001143130339901297,3.9858620362287267,0.0002000092977910137,0.70001275841925
B4_0007,.Monsieur Lenglet prendra le TGV de la SNCF jusqu'à Grenoble.,61,10,,proper_acronym,8854.884235161,8854.884900871,8855.22829831,8855.726942974,8855.788129729,0.003908000508090481,343.1553629998234,497.633692000818,61.16745899998932,903.8945680003962,2.902,64000,22050,0.31147297312212135,8.214040465693822,0.002281677907137173,2.830475694587809,91.17819172697222,100.0,62.8,False,0.25760685517995124,7.155745977220867e-05,0.3227963541666667,0.3234515625,0.0009439555649538311,4.220686051214667,0.00015879986141035233,0.7078931630691356
C1_0008,".Le colis pèse trois virgule cinq kilos, coûte vingt-neuf virgule quatre-vingt-dix-neuf euros et arrivera vers quinze heures quarante-cinq.",139,18,,stacked_numbers,8860.884320508,8860.885171275,8861.603728838,8862.877713115,8862.979161759,0.0036490000638877973,718.1706709998252,1272.3106329995062,101.42810700017435,2094.8412510006165,7.105,156672,22050,0.29484042941599103,20.96116627989187,0.005822546188858853,2.9501993356638803,92.27372012627836,100.0,65.55,False,0.6446936052142629,0.0001790815570039619,0.32251376488095246,0.32898125,0.0024470016490809763,4.30048428376718,0.00042365629783729396,0.7610341423595177
C2_0009,".Les poules du couvent couvent, tandis que les fils du tisserand tissent.",73,12,,homographs_g2p,8870.379009017,8870.379702264,8870.802344265,8871.475186688,8871.543565673,0.003851999281323515,422.36099899855617,671.9298970001546,68.35926200074027,1164.5566560000589,3.843,84736,22050,0.30303321779861014,11.632643757623894,0.003231289932673304,3.0269694919656245,90.24343361623566,100.0,64.45,False,0.35523535203072243,9.867648667520067e-05,0.32317460937500003,0.328575,0.0013972095079093797,4.381969366915533,0.00021272809382017412,0.6887420306213284
