sentence_id,text,char_count,word_count,phoneme_count,complexity_tag,t_synth_start,t_front_end_end,t_acoustic_end,t_vocoder_end,t_audio_write_end,front_end_ms,acoustic_ms,vocoder_ms,write_ms,total_synth_ms,audio_duration_s,n_samples,sample_rate,rtf,energy_j,energy_wh,energy_per_speech_s,mean_cpu,peak_cpu,peak_temp,throttled_any,amp_energy_j,amp_energy_wh,amp_mean_w,amp_peak_w,cpu_energy_wh,cpu_mean_w,mem_energy_wh,mem_mean_w
REF,".La bise et le soleil se disputaient, chacun assurant qu'il était le plus fort.",79,14,,anchor,6089.340140693,6089.346165326,6089.781803648,6090.487410735,6090.565110138,0.005943999894952867,435.29178600056184,703.3524259995829,77.67762499952369,1224.9694450001698,3.889,85760,22050,0.3149831434816585,10.960992167445387,0.0030447200465126075,2.818460315619796,92.11322356861508,100.0,67.75,False,-0.0013899547013376614,-3.860985281493504e-07,-0.0012637760416666667,-0.00126125,0.0011239708553352388,3.797336770473708,0.0002177200023456629,0.7050166343506884
A1,.Le chat dort.,14,3,,short_plain,6092.565503203,6092.565908646,6092.779622864,6092.993561636,6093.037524973,0.0034630002119229175,213.59234800002014,213.39834799982782,43.940077999650384,472.0217699996283,1.173,25856,22050,0.402405601022701,4.269240939603084,0.0011859002610008567,3.639591593864522,75.51094434021263,97.5,66.1,False,-0.0005079167527633386,-1.4108798687870518e-07,-0.001261875,-0.001258125,0.0004734723344031763,4.103509455889999,8.140882848689594e-05,0.70723600886212
A2,.Le petit garçon mange une pomme rouge dans le jardin.,54,10,,medium_plain,6095.037914131,6095.038560741,6095.365739069,6095.82226847,6095.883419913,0.004610999894794077,326.94542199988064,455.89701300013985,61.12938699970982,845.5057819992362,2.612,57600,22050,0.32370052909618535,7.825560835302078,0.0021737668986950218,2.9960033825811934,84.86442419369249,100.0,67.2,False,-0.0010093681628308775,-2.803800452307993e-07,-0.001264409722222222,-0.0012603125,0.0007795571998843535,3.3701801399799556,0.0001661588597510797,0.7493755520719398
A3,".Ce matin, je suis allé à la boulangerie du coin pour acheter du pain frais et deux croissants.",95,18,,long_plain,6097.883770368,6097.884328848,6098.362658714,6099.197636911,6099.277212012,0.0038329999370034784,478.1209590000799,834.1739580000649,79.55513799970504,1393.4416439997221,4.644,102400,22050,0.30005203359167143,13.466222515580467,0.003740617365439019,2.899703384061255,91.49876558524561,100.0,68.85,False,-0.0016430822865711996,-4.564117462697777e-07,-0.0012639285714285717,-0.0012621875,0.0014220385924758555,3.842831943461929,0.0002956724561263383,0.8095881447907015
B1,.Les anciens amis ont attendu leurs enfants aux alentours.,58,9,,liaisons,6101.277568838,6101.278213299,6101.639230138,6102.139565506,6102.200311505,0.00399999953515362,360.7771730003151,499.7896659997423,60.72372200014797,922.7426670004206,2.833,62464,22050,0.32571220155327235,7.981387893906286,0.002217052192751746,2.8172918792468358,91.99169319180066,100.0,68.3,False,-0.0010116853282232802,-2.810237022842445e-07,-0.0012654513888888889,-0.0012628125,0.0008284348744071416,3.582650342869556,0.00015883932419128493,0.7094581942104066
B2,".La Révolution française a éclaté le quatorze juillet mille sept cent quatre-vingt-neuf, près de Paris.",103,15,,number_words,6104.200667387,6104.201243478,6104.73430284,6105.687749377,6105.770286989,0.0032219995773630217,532.7878260004582,952.5460579998253,82.51759399990988,1569.6196019998752,4.888,107776,22050,0.321116939852675,15.414188411263211,0.00428171900312867,3.1534755342191514,87.61128264297395,97.61904761904762,69.4,False,-0.0018952381870819546,-5.264550519672096e-07,-0.001264375,-0.0012618750000000002,0.0016290984209011998,3.8028042865616936,0.000315251459242629,0.7384722519248069
B3,".Attends… es-tu vraiment sûr ? Non, c'est impossible !",54,9,,prosody_punct,6107.770641483,6107.771314814,6108.20512679,6108.904234356,6108.977411548,0.004110999725526199,433.578586999829,698.5657530003664,73.15924700014875,1206.7700650004554,3.727,82176,22050,0.32379127045893624,11.342128557971773,0.00315059126610327,3.0432327764882676,90.61979969611623,100.0,69.4,False,-0.0013877205553162128,-3.854779320322813e-07,-0.001264296875,-0.0012625,0.0012132653921354806,3.8371066614704663,0.00022600741780033715,0.7294067894843751
B4,.Monsieur Lenglet prendra le TGV de la SNCF jusqu'à Grenoble.,61,10,,proper_acronym,6110.977756893,6110.978235318,6111.32610217,6111.849737093,6111.91372951,0.004647999958251603,347.69568600040657,522.9279240002143,63.97188000028109,935.9726169996065,2.902,64000,22050,0.3225267460370801,7.732991126529835,0.002148053090702732,2.6647109326429477,92.6407514318372,100.0,69.4,False,-0.0010101062352282269,-2.805850653411741e-07,-0.001263541666666667,-0.0012618750000000002,0.0007555887378371122,3.335465050144889,0.00015973907555578303,0.7286486188657022
C1,".Le colis pèse trois virgule cinq kilos, coûte vingt-neuf virgule quatre-vingt-dix-neuf euros et arrivera vers quinze heures quarante-cinq.",139,18,,stacked_numbers,6113.914074912,6113.914920224,6114.633887391,6115.953693736,6116.061269232,0.0038879998101037927,718.5892790002981,1318.8637729999755,107.55599599997367,2147.1943200003807,7.105,156672,22050,0.3022089120338326,21.65846634583297,0.00601624065162027,3.0483414983579125,92.84586729745999,100.0,71.6,False,-0.0025281740418148847,-7.022705671708013e-07,-0.0012638392857142859,-0.001259375,0.0024789473483579497,4.398902334512991,0.00038962081723119296,0.6972753724322606
C2,".Les poules du couvent couvent, tandis que les fils du tisserand tissent.",73,12,,homographs_g2p,6118.061589208,6118.062074059,6118.491903174,6119.185265607,6119.255758212,0.0029450002330122516,429.6444490000795,692.5912130000142,70.47212399993441,1194.1690039993773,3.843,84736,22050,0.31073874681222413,11.743372382321509,0.0032620478839781968,3.0557825611036975,87.23970967128936,97.5609756097561,71.6,False,-0.0013898986000750338,-3.860829444652872e-07,-0.0012632812499999999,-0.0012584375000000002,0.0013596775947624293,4.317201589593718,0.0001977896844745139,0.6457905723914465
